
 ======= APC Propeller Performance Predictions =========================

  Given an RPM, the velocity is determined that yields peak efficiency.

  Be wary of the highest 1 or 2 RPM data points.  The computations inherently tend toward 
  instability at the highest RPM's where solutions generally still appear to be available.
  For example, the following props contain divergent data at the upper RPM limits:
      11x8     (highest RPM)
      22x11E   (2 highest RPM's')


           ========== 105x45 ==========

       RPM       VMPH       EFF      HP
      6000        30        0.71    0.0660
      7000        35        0.73    0.1010
      8000        40        0.74    0.1490
      9000        45        0.75    0.2100
     10000        51        0.76    0.2850
     11000        56        0.77    0.3770
     12000        61        0.78    0.4840
     13000        69        0.79    0.5600
     13999        74        0.80    0.7040
     15000        80        0.80    0.8840
     16000        85        0.80    1.0870
     17000        86        0.79    1.5000
     18000        91        0.77    1.8840
     19000        91        0.74    2.6570
     20000        96        0.68    3.5490
     21000        95        0.66    4.3190
     22000       103        0.61    4.9870
 


           ========== 11x46SF ==========

       RPM       VMPH       EFF      HP
      1000         4        0.65    0.0000
      2000        10        0.66    0.0040
      3000        14        0.65    0.0120
      4000        18        0.65    0.0280
      5000        23        0.65    0.0530
      6000        28        0.67    0.0880
      7000        33        0.67    0.1370
      8000        38        0.67    0.2040
      9000        43        0.67    0.2900
     10000        48        0.68    0.4010
     11000        56        0.68    0.5080
     12000        58        0.70    0.6940
     13000        63        0.71    0.8930
     14000        68        0.71    1.1360
 


           ========== 11x47SF ==========

       RPM       VMPH       EFF      HP
      2000        11        0.65    0.0050
      3000        16        0.65    0.0150
      4000        22        0.67    0.0300
      5000        26        0.70    0.0570
      6000        32        0.71    0.0940
      7000        38        0.72    0.1470
      8000        44        0.73    0.2190
      9000        50        0.74    0.3100
     10000        55        0.75    0.4290
     11000        61        0.75    0.5790
     12000        69        0.75    0.7310
     13000        72        0.75    0.9780
     13999        81        0.75    1.1410
     15000        86        0.75    1.4880
     16000        88        0.74    1.9930
     17000        90        0.73    2.5660
     18000        99        0.71    3.1510
 


           ========== 11x5 ==========

       RPM       VMPH       EFF      HP
      1000         5        0.68    0.0000
      2000        10        0.68    0.0030
      3000        16        0.68    0.0090
      4000        21        0.68    0.0210
      5000        26        0.71    0.0400
      6000        32        0.73    0.0670
      7000        37        0.75    0.1040
      8000        44        0.76    0.1400
      9000        50        0.77    0.1970
     10000        56        0.79    0.2690
     11000        61        0.80    0.3570
     12000        67        0.81    0.4630
     13000        72        0.81    0.5920
     13999        78        0.82    0.7480
     15000        83        0.82    0.9370
     16000        89        0.82    1.1670
     17000        98        0.82    1.2720
     18000        99        0.81    1.8540
     19000       105        0.71    2.7140
     20000       108        0.64    3.9660
 


           ========== 11x55E ==========

       RPM       VMPH       EFF      HP
      1000         5        0.70    0.0000
      2000        11        0.70    0.0030
      3000        16        0.70    0.0090
      4000        22        0.70    0.0210
      5000        27        0.71    0.0410
      6000        33        0.73    0.0690
      7000        38        0.75    0.1080
      8000        46        0.77    0.1430
      9000        52        0.78    0.2020
     10000        57        0.79    0.2760
     11000        63        0.80    0.3670
     12000        69        0.81    0.4750
     13000        74        0.81    0.6060
     13999        80        0.82    0.7600
     15000        90        0.83    0.8230
     16000        96        0.83    1.0230
     17000       102        0.83    1.2590
     18000       107        0.83    1.5810
     19000       108        0.77    2.5270
     20000       110        0.71    3.5570
     21000       119        0.66    4.1210
     22000       113        0.63    5.2990
 


           ========== 11x55MR ==========

       RPM       VMPH       EFF      HP
      2000        12        0.72    0.0030
      3000        17        0.72    0.0110
      4000        23        0.71    0.0270
      5000        29        0.74    0.0500
      6000        35        0.76    0.0830
      7000        41        0.77    0.1280
      8000        49        0.78    0.1710
      9000        55        0.79    0.2410
     10000        61        0.80    0.3280
     11000        67        0.81    0.4340
     12000        74        0.82    0.5590
     13000        80        0.83    0.7220
     14000        86        0.83    0.9100
     15000        92        0.83    1.1370
     16000        98        0.83    1.3970
     17000       104        0.82    1.7400
     18000       105        0.81    2.4080
     19000       115        0.77    2.9100
     20000       116        0.73    4.1140
     21000       114        0.71    5.2570
 


           ========== 11x6-4 ==========

       RPM       VMPH       EFF      HP
      1000         6        0.68    0.0010
      2000        12        0.68    0.0050
      3000        18        0.68    0.0170
      4000        24        0.68    0.0410
      5000        30        0.69    0.0790
      6000        36        0.71    0.1330
      7000        42        0.72    0.2070
      8000        48        0.74    0.3040
      9000        54        0.75    0.4290
     10000        60        0.76    0.5870
     11000        66        0.77    0.7800
     12000        76        0.77    0.9150
     13000        82        0.78    1.1680
     13999        88        0.79    1.4670
     15000        95        0.79    1.8250
     16000       101        0.80    2.2690
     17000       107        0.79    2.8620
     18000       112        0.74    3.8630
     19000       114        0.67    5.9740
     21000       117        0.55   10.3530
 


           ========== 11x6 ==========

       RPM       VMPH       EFF      HP
      1000         6        0.72    0.0000
      2000        12        0.72    0.0030
      3000        18        0.72    0.0110
      4000        24        0.73    0.0260
      5000        30        0.75    0.0490
      6000        38        0.77    0.0750
      7000        44        0.79    0.1180
      8000        50        0.80    0.1740
      9000        57        0.81    0.2470
     10000        63        0.82    0.3370
     11000        70        0.83    0.4490
